log_id,product_id,change_quantity,log_type,log_date
LOG000001,PROD0053,39,Stock Out,2025-05-29
LOG000002,PROD0210,8,Return,2026-01-31
LOG000003,PROD0072,3,Stock Out,2025-09-22
LOG000004,PROD0229,25,Stock In,2025-09-24
LOG000005,PROD0116,12,Stock Out,2025-02-05
LOG000006,PROD0347,2,Stock Out,2025-07-14
LOG000007,PROD0018,16,Return,2025-04-18
LOG000008,PROD0284,27,Stock Out,2025-01-28
LOG000009,PROD0104,19,Stock In,2025-10-27
LOG000010,PROD0350,26,Return,2025-01-04
LOG000011,PROD0046,3,Stock Out,2025-03-16
LOG000012,PROD0470,3,Stock Out,2025-12-08
LOG000013,PROD0082,50,Return,2025-08-25
LOG000014,PROD0331,37,Return,2025-12-07
LOG000015,PROD0009,46,Stock Out,2025-04-23
LOG000016,PROD0399,35,Return,2025-10-21
LOG000017,PROD0444,30,Return,2025-10-23
LOG000018,PROD0393,31,Stock In,2025-06-21
LOG000019,PROD0474,30,Stock In,2025-07-10
LOG000020,PROD0422,16,Stock Out,2026-01-19
LOG000021,PROD0318,44,Return,2025-09-16
LOG000022,PROD0208,23,Stock In,2026-01-11
LOG000023,PROD0470,27,Stock Out,2025-07-02
LOG000024,PROD0448,50,Return,2025-05-18
LOG000025,PROD0250,18,Return,2025-02-12
LOG000026,PROD0033,17,Stock In,2025-03-10
LOG000027,PROD0472,36,Stock Out,2025-12-04
LOG000028,PROD0135,17,Stock Out,2025-02-06
LOG000029,PROD0181,42,Stock In,2025-01-24
LOG000030,PROD0068,36,Stock In,2025-02-18
LOG000031,PROD0228,29,Stock In,2025-08-09
LOG000032,PROD0117,45,Stock Out,2025-12-03
LOG000033,PROD0067,41,Stock In,2025-02-23
LOG000034,PROD0342,35,Return,2025-07-31
LOG000035,PROD0214,40,Stock Out,2025-09-21
LOG000036,PROD0437,38,Stock Out,2025-11-28
LOG000037,PROD0410,40,Stock In,2025-09-13
LOG000038,PROD0054,24,Stock Out,2026-01-09
LOG000039,PROD0314,33,Stock Out,2025-07-19
LOG000040,PROD0457,43,Stock Out,2025-12-26
LOG000041,PROD0142,34,Stock Out,2025-05-11
LOG000042,PROD0041,27,Stock Out,2025-05-07
LOG000043,PROD0041,4,Stock In,2025-08-31
LOG000044,PROD0353,16,Return,2025-05-02
LOG000045,PROD0074,37,Stock In,2025-10-16
LOG000046,PROD0126,46,Stock Out,2025-02-07
LOG000047,PROD0222,41,Stock Out,2025-09-20
LOG000048,PROD0103,29,Stock Out,2025-05-28
LOG000049,PROD0130,40,Return,2025-11-16
LOG000050,PROD0264,3,Return,2025-05-27
LOG000051,PROD0488,28,Stock Out,2025-06-13
LOG000052,PROD0360,46,Stock Out,2025-08-11
