item_id,order_id,product_id,quantity,total_item_price
ITEM000001,ORD000001,PROD0105,2,3894.96
ITEM000002,ORD000002,PROD0369,4,7024.56
ITEM000003,ORD000003,PROD0361,3,10052.88
ITEM000004,ORD000004,PROD0424,4,10166.6
ITEM000005,ORD000005,PROD0096,2,4955.78
ITEM000006,ORD000006,PROD0088,3,2955.99
ITEM000007,ORD000007,PROD0485,2,1861.2
ITEM000008,ORD000008,PROD0374,2,2971.5
ITEM000009,ORD000009,PROD0105,3,5842.440000000001
ITEM000010,ORD000010,PROD0146,4,7020.36
ITEM000011,ORD000011,PROD0471,1,284.52
ITEM000012,ORD000012,PROD0259,1,13589.4
ITEM000013,ORD000013,PROD0232,2,3629.04
ITEM000014,ORD000014,PROD0138,1,1336.8
ITEM000015,ORD000015,PROD0289,2,7083.18
ITEM000016,ORD000016,PROD0110,1,3317.51
ITEM000017,ORD000017,PROD0307,4,9892.44
ITEM000018,ORD000018,PROD0034,3,4820.67
ITEM000019,ORD000019,PROD0219,4,15428.0
ITEM000020,ORD000020,PROD0342,2,1832.58
ITEM000021,ORD000021,PROD0201,1,29577.81
ITEM000022,ORD000022,PROD0003,3,15702.3
ITEM000023,ORD000023,PROD0409,2,111473.26
ITEM000024,ORD000024,PROD0050,1,2406.82
ITEM000025,ORD000025,PROD0298,1,7105.98
ITEM000026,ORD000026,PROD0064,1,5514.24
ITEM000027,ORD000027,PROD0018,2,1682.82
ITEM000028,ORD000028,PROD0309,1,7753.4
ITEM000029,ORD000029,PROD0006,4,27848.92
ITEM000030,ORD000030,PROD0155,4,16764.16
ITEM000031,ORD000031,PROD0281,1,6248.87
ITEM000032,ORD000032,PROD0266,2,49052.08
ITEM000033,ORD000033,PROD0221,4,2677.48
ITEM000034,ORD000034,PROD0203,4,8773.32
ITEM000035,ORD000035,PROD0369,4,7024.56
ITEM000036,ORD000036,PROD0497,4,17510.8
ITEM000037,ORD000037,PROD0373,2,114043.34
ITEM000038,ORD000038,PROD0012,4,9309.08
ITEM000039,ORD000039,PROD0383,3,5183.309999999999
ITEM000040,ORD000040,PROD0227,4,5345.32
ITEM000041,ORD000041,PROD0107,2,4813.78
ITEM000042,ORD000042,PROD0500,1,334.0
ITEM000043,ORD000043,PROD0440,2,26867.28
ITEM000044,ORD000044,PROD0382,2,21250.26
ITEM000045,ORD000045,PROD0079,4,8223.36
ITEM000046,ORD000046,PROD0212,3,911.49
ITEM000047,ORD000047,PROD0159,3,61776.3
ITEM000048,ORD000048,PROD0156,3,18314.88
ITEM000049,ORD000049,PROD0474,1,3724.96
ITEM000050,ORD000050,PROD0387,2,48323.66
ITEM000051,ORD000051,PROD0230,2,7572.86
ITEM000052,ORD000052,PROD0397,4,57044.72
ITEM000053,ORD000053,PROD0394,1,42810.98
ITEM000054,ORD000054,PROD0286,2,3127.48
ITEM000055,ORD000055,PROD0454,3,7408.530000000001
ITEM000056,ORD000056,PROD0293,1,582.97
ITEM000057,ORD000057,PROD0322,2,1790.0
ITEM000058,ORD000058,PROD0354,4,9902.2
ITEM000059,ORD000059,PROD0102,3,10247.19
ITEM000060,ORD000060,PROD0341,2,6938.7
ITEM000061,ORD000061,PROD0241,3,19700.97
ITEM000062,ORD000062,PROD0264,2,5184.8
ITEM000063,ORD000063,PROD0183,1,36866.47
ITEM000064,ORD000064,PROD0315,2,134548.04
ITEM000065,ORD000065,PROD0186,2,4010.92
ITEM000066,ORD000066,PROD0323,3,3563.91
ITEM000067,ORD000067,PROD0481,3,9611.97
ITEM000068,ORD000068,PROD0144,2,116212.32
ITEM000069,ORD000069,PROD0047,4,3597.0
ITEM000070,ORD000070,PROD0248,3,210350.73
ITEM000071,ORD000071,PROD0221,4,2677.48
ITEM000072,ORD000072,PROD0408,4,187206.52
ITEM000073,ORD000073,PROD0030,1,1311.25
ITEM000074,ORD000074,PROD0403,3,7558.530000000001
ITEM000075,ORD000075,PROD0418,1,2229.45
ITEM000076,ORD000076,PROD0316,2,1327.4
ITEM000077,ORD000077,PROD0344,1,2630.41
ITEM000078,ORD000078,PROD0012,3,6981.809999999999
ITEM000079,ORD000079,PROD0307,4,9892.44
ITEM000080,ORD000080,PROD0102,4,13662.92
ITEM000081,ORD000081,PROD0254,1,1365.55
ITEM000082,ORD000082,PROD0050,4,9627.28
ITEM000083,ORD000083,PROD0471,1,284.52
ITEM000084,ORD000084,PROD0213,2,37359.84
ITEM000085,ORD000085,PROD0150,4,29518.04
ITEM000086,ORD000086,PROD0469,3,5257.11
ITEM000087,ORD000087,PROD0481,2,6407.98
ITEM000088,ORD000088,PROD0395,3,11271.03
ITEM000089,ORD000089,PROD0363,3,4511.73
ITEM000090,ORD000090,PROD0337,1,6207.02
ITEM000091,ORD000091,PROD0339,3,131840.61
ITEM000092,ORD000092,PROD0188,2,10766.24
ITEM000093,ORD000093,PROD0327,2,83265.84
ITEM000094,ORD000094,PROD0487,2,135689.34
ITEM000095,ORD000095,PROD0287,1,1777.17
ITEM000096,ORD000096,PROD0056,1,729.29
ITEM000097,ORD000097,PROD0008,3,1086.27
ITEM000098,ORD000098,PROD0147,1,5749.02
ITEM000099,ORD000099,PROD0180,3,5581.5
ITEM000100,ORD000100,PROD0385,4,14411.76
ITEM000101,ORD000101,PROD0252,4,254236.4
ITEM000102,ORD000102,PROD0418,4,8917.8
ITEM000103,ORD000103,PROD0127,4,148991.4
ITEM000104,ORD000104,PROD0367,3,2893.32
ITEM000105,ORD000105,PROD0140,1,1712.74
ITEM000106,ORD000106,PROD0215,2,98777.98
ITEM000107,ORD000107,PROD0223,4,2599.88
ITEM000108,ORD000108,PROD0493,1,758.87
ITEM000109,ORD000109,PROD0295,4,47866.2
ITEM000110,ORD000110,PROD0428,3,4746.24
ITEM000111,ORD000111,PROD0154,4,17038.64
ITEM000112,ORD000112,PROD0131,4,185238.8
ITEM000113,ORD000113,PROD0469,3,5257.11
ITEM000114,ORD000114,PROD0253,2,3496.82
ITEM000115,ORD000115,PROD0406,2,3310.78
ITEM000116,ORD000116,PROD0110,2,6635.02
ITEM000117,ORD000117,PROD0353,4,258753.96
ITEM000118,ORD000118,PROD0492,1,5300.57
ITEM000119,ORD000119,PROD0496,3,17843.88
ITEM000120,ORD000120,PROD0120,3,11899.62
ITEM000121,ORD000121,PROD0277,1,1614.95
ITEM000122,ORD000122,PROD0226,2,149826.72
ITEM000123,ORD000123,PROD0394,3,128432.94
ITEM000124,ORD000124,PROD0282,3,7596.960000000001
ITEM000125,ORD000125,PROD0452,3,130760.88
ITEM000126,ORD000126,PROD0030,2,2622.5
ITEM000127,ORD000127,PROD0382,3,31875.39
ITEM000128,ORD000128,PROD0395,3,11271.03
ITEM000129,ORD000129,PROD0403,4,10078.04
ITEM000130,ORD000130,PROD0457,4,4121.72
ITEM000131,ORD000131,PROD0484,4,6828.84
ITEM000132,ORD000132,PROD0365,4,8520.8
ITEM000133,ORD000133,PROD0167,1,366.78
ITEM000134,ORD000134,PROD0067,2,3253.28
ITEM000135,ORD000135,PROD0257,4,1369.0
ITEM000136,ORD000136,PROD0484,3,5121.63
ITEM000137,ORD000137,PROD0294,3,20757.72
ITEM000138,ORD000138,PROD0016,1,34090.27
ITEM000139,ORD000139,PROD0338,1,1207.43
ITEM000140,ORD000140,PROD0170,1,1322.24
ITEM000141,ORD000141,PROD0200,3,44302.02
ITEM000142,ORD000142,PROD0224,3,17896.89
ITEM000143,ORD000143,PROD0177,4,2056.8
ITEM000144,ORD000144,PROD0471,4,1138.08
ITEM000145,ORD000145,PROD0045,2,4895.6
ITEM000146,ORD000146,PROD0284,2,4352.6
ITEM000147,ORD000147,PROD0098,2,4121.72
ITEM000148,ORD000148,PROD0227,3,4008.99
ITEM000149,ORD000149,PROD0278,2,1173.84
ITEM000150,ORD000150,PROD0410,4,2086.88
ITEM000151,ORD000151,PROD0458,1,973.34
ITEM000152,ORD000152,PROD0156,1,6104.96
ITEM000153,ORD000153,PROD0379,3,931.08
ITEM000154,ORD000154,PROD0231,1,1243.06
ITEM000155,ORD000155,PROD0227,2,2672.66
ITEM000156,ORD000156,PROD0047,4,3597.0
ITEM000157,ORD000157,PROD0304,1,489.42
ITEM000158,ORD000158,PROD0271,4,8002.28
ITEM000159,ORD000159,PROD0473,4,6257.96
ITEM000160,ORD000160,PROD0386,1,476.7
ITEM000161,ORD000161,PROD0277,3,4844.85
ITEM000162,ORD000162,PROD0258,2,65301.58
ITEM000163,ORD000163,PROD0122,4,95273.64
ITEM000164,ORD000164,PROD0228,1,2238.61
ITEM000165,ORD000165,PROD0141,4,12850.8
ITEM000166,ORD000166,PROD0126,1,5016.99
ITEM000167,ORD000167,PROD0418,4,8917.8
ITEM000168,ORD000168,PROD0136,2,13638.08
ITEM000169,ORD000169,PROD0182,1,1436.71
ITEM000170,ORD000170,PROD0023,2,1716.62
ITEM000171,ORD000171,PROD0311,1,30026.51
ITEM000172,ORD000172,PROD0420,2,544.9
ITEM000173,ORD000173,PROD0207,2,63684.96
ITEM000174,ORD000174,PROD0261,1,60892.34
ITEM000175,ORD000175,PROD0164,1,3028.8
ITEM000176,ORD000176,PROD0317,2,1038.88
ITEM000177,ORD000177,PROD0110,1,3317.51
ITEM000178,ORD000178,PROD0258,4,130603.16
ITEM000179,ORD000179,PROD0021,4,28053.4
ITEM000180,ORD000180,PROD0203,4,8773.32
ITEM000181,ORD000181,PROD0081,4,292141.92
ITEM000182,ORD000182,PROD0383,2,3455.54
ITEM000183,ORD000183,PROD0166,4,5372.48
ITEM000184,ORD000184,PROD0030,2,2622.5
ITEM000185,ORD000185,PROD0077,1,4198.7
ITEM000186,ORD000186,PROD0123,2,7994.54
ITEM000187,ORD000187,PROD0024,4,28143.36
ITEM000188,ORD000188,PROD0262,2,2082.32
ITEM000189,ORD000189,PROD0441,3,4042.74
ITEM000190,ORD000190,PROD0293,3,1748.91
ITEM000191,ORD000191,PROD0331,2,12616.8
ITEM000192,ORD000192,PROD0303,4,10981.44
ITEM000193,ORD000193,PROD0425,3,11089.56
ITEM000194,ORD000194,PROD0345,4,9517.72
ITEM000195,ORD000195,PROD0200,4,59069.36
ITEM000196,ORD000196,PROD0144,1,58106.16
ITEM000197,ORD000197,PROD0202,4,165283.12
ITEM000198,ORD000198,PROD0411,1,1775.69
ITEM000199,ORD000199,PROD0312,1,3821.28
ITEM000200,ORD000200,PROD0488,3,16182.81
ITEM000201,ORD000201,PROD0328,4,11072.32
ITEM000202,ORD000202,PROD0085,3,10608.93
ITEM000203,ORD000203,PROD0136,4,27276.16
ITEM000204,ORD000204,PROD0477,3,102469.5
ITEM000205,ORD000205,PROD0114,2,7205.18
ITEM000206,ORD000206,PROD0153,4,1747.16
ITEM000207,ORD000207,PROD0397,4,57044.72
ITEM000208,ORD000208,PROD0448,4,9756.96
ITEM000209,ORD000209,PROD0119,1,5050.37
ITEM000210,ORD000210,PROD0184,3,21666.72
ITEM000211,ORD000211,PROD0129,3,21044.49
ITEM000212,ORD000212,PROD0271,4,8002.28
ITEM000213,ORD000213,PROD0208,4,30177.2
ITEM000214,ORD000214,PROD0305,2,4540.9
ITEM000215,ORD000215,PROD0169,2,80359.58
ITEM000216,ORD000216,PROD0091,1,65941.52
ITEM000217,ORD000217,PROD0058,4,1657.4
ITEM000218,ORD000218,PROD0096,3,7433.67
ITEM000219,ORD000219,PROD0420,1,272.45
ITEM000220,ORD000220,PROD0053,3,6463.89
ITEM000221,ORD000221,PROD0352,3,85787.81999999999
ITEM000222,ORD000222,PROD0183,4,147465.88
ITEM000223,ORD000223,PROD0200,4,59069.36
ITEM000224,ORD000224,PROD0017,2,2080.56
ITEM000225,ORD000225,PROD0422,1,589.21
ITEM000226,ORD000226,PROD0121,3,7623.809999999999
ITEM000227,ORD000227,PROD0259,4,54357.6
ITEM000228,ORD000228,PROD0232,1,1814.52
ITEM000229,ORD000229,PROD0033,1,656.58
ITEM000230,ORD000230,PROD0003,2,10468.2
ITEM000231,ORD000231,PROD0267,3,207165.03
ITEM000232,ORD000232,PROD0280,2,3845.56
ITEM000233,ORD000233,PROD0024,1,7035.84
ITEM000234,ORD000234,PROD0108,2,337.0
ITEM000235,ORD000235,PROD0170,2,2644.48
ITEM000236,ORD000236,PROD0445,4,183998.08
ITEM000237,ORD000237,PROD0159,4,82368.4
ITEM000238,ORD000238,PROD0215,2,98777.98
ITEM000239,ORD000239,PROD0319,3,118899.96
ITEM000240,ORD000240,PROD0149,3,784.92
ITEM000241,ORD000241,PROD0196,4,1730.68
ITEM000242,ORD000242,PROD0219,1,3857.0
ITEM000243,ORD000243,PROD0001,1,32647.93
ITEM000244,ORD000244,PROD0464,3,109876.32
ITEM000245,ORD000245,PROD0154,1,4259.66
ITEM000246,ORD000246,PROD0301,3,34762.2
ITEM000247,ORD000247,PROD0411,1,1775.69
ITEM000248,ORD000248,PROD0031,1,3800.39
ITEM000249,ORD000249,PROD0109,3,5646.39
ITEM000250,ORD000250,PROD0245,4,5949.56
ITEM000251,ORD000251,PROD0207,1,31842.48
ITEM000252,ORD000252,PROD0133,3,11011.95
ITEM000253,ORD000253,PROD0226,4,299653.44
ITEM000254,ORD000254,PROD0142,1,3696.67
ITEM000255,ORD000255,PROD0236,1,2434.29
ITEM000256,ORD000256,PROD0221,1,669.37
ITEM000257,ORD000257,PROD0377,1,238.77
ITEM000258,ORD000258,PROD0468,1,6103.91
ITEM000259,ORD000259,PROD0299,1,1210.07
ITEM000260,ORD000260,PROD0063,4,205011.12
ITEM000261,ORD000261,PROD0337,2,12414.04
ITEM000262,ORD000262,PROD0380,3,6125.73
ITEM000263,ORD000263,PROD0452,3,130760.88
ITEM000264,ORD000264,PROD0042,4,15951.76
ITEM000265,ORD000265,PROD0219,4,15428.0
ITEM000266,ORD000266,PROD0042,2,7975.88
ITEM000267,ORD000267,PROD0096,3,7433.67
ITEM000268,ORD000268,PROD0091,4,263766.08
ITEM000269,ORD000269,PROD0060,3,18148.53
ITEM000270,ORD000270,PROD0416,2,3610.76
ITEM000271,ORD000271,PROD0174,4,145166.52
ITEM000272,ORD000272,PROD0023,2,1716.62
ITEM000273,ORD000273,PROD0387,1,24161.83
ITEM000274,ORD000274,PROD0122,3,71455.23
ITEM000275,ORD000275,PROD0373,1,57021.67
ITEM000276,ORD000276,PROD0295,2,23933.1
ITEM000277,ORD000277,PROD0418,1,2229.45
ITEM000278,ORD000278,PROD0349,3,7597.349999999999
ITEM000279,ORD000279,PROD0208,4,30177.2
ITEM000280,ORD000280,PROD0358,4,6005.84
ITEM000281,ORD000281,PROD0161,1,43573.99
ITEM000282,ORD000282,PROD0180,2,3721.0
ITEM000283,ORD000283,PROD0283,2,8475.82
ITEM000284,ORD000284,PROD0404,1,562.03
