order_id,user_id,order_date,status
ORD000001,USR00938,2025-03-22,Delivered
ORD000002,USR01251,2025-10-18,Shipped
ORD000003,USR00357,2025-04-18,Delivered
ORD000004,USR01252,2025-03-30,Shipped
ORD000005,USR01666,2025-09-22,Processing
ORD000006,USR01281,2025-09-21,Shipped
ORD000007,USR00370,2025-01-26,Delivered
ORD000008,USR00326,2025-12-31,Delivered
ORD000009,USR00315,2025-10-23,Delivered
ORD000010,USR00984,2025-10-13,Delivered
ORD000011,USR00384,2025-04-19,Delivered
ORD000012,USR00677,2025-03-27,Shipped
ORD000013,USR02357,2025-03-16,Delivered
ORD000014,USR00236,2025-03-04,Delivered
ORD000015,USR00347,2025-01-23,Delivered
ORD000016,USR01171,2025-03-01,Delivered
ORD000017,USR02270,2025-01-08,Cancelled
ORD000018,USR02019,2025-04-05,Delivered
ORD000019,USR00044,2025-04-28,Processing
ORD000020,USR01737,2025-03-31,Delivered
ORD000021,USR02084,2025-01-02,Cancelled
ORD000022,USR00559,2025-01-09,Processing
ORD000023,USR01965,2025-02-02,Delivered
ORD000024,USR02040,2025-12-21,Delivered
ORD000025,USR02110,2025-09-25,Delivered
ORD000026,USR02181,2025-07-17,Delivered
ORD000027,USR00511,2025-08-25,Delivered
ORD000028,USR01661,2025-08-11,Delivered
ORD000029,USR00057,2025-07-14,Cancelled
ORD000030,USR00779,2025-02-28,Processing
ORD000031,USR00030,2025-01-24,Delivered
ORD000032,USR01741,2025-01-16,Processing
ORD000033,USR02189,2025-09-18,Shipped
ORD000034,USR01414,2025-11-20,Delivered
ORD000035,USR01001,2025-11-02,Delivered
ORD000036,USR02164,2025-12-10,Delivered
ORD000037,USR02496,2025-10-13,Delivered
ORD000038,USR00174,2025-12-13,Delivered
ORD000039,USR02488,2025-09-04,Processing
ORD000040,USR01838,2026-01-02,Shipped
ORD000041,USR00691,2025-07-17,Shipped
ORD000042,USR02145,2025-03-04,Delivered
ORD000043,USR00922,2025-01-06,Cancelled
ORD000044,USR00717,2025-10-08,Processing
ORD000045,USR00308,2025-02-12,Processing
ORD000046,USR01504,2025-06-01,Delivered
ORD000047,USR00547,2025-04-07,Shipped
ORD000048,USR02105,2025-07-10,Delivered
ORD000049,USR01448,2025-07-16,Delivered
ORD000050,USR00209,2025-02-17,Shipped
ORD000051,USR01732,2025-05-28,Delivered
ORD000052,USR02030,2025-02-01,Delivered
ORD000053,USR01553,2026-01-06,Processing
ORD000054,USR00699,2025-05-01,Delivered
ORD000055,USR01529,2025-10-11,Delivered
ORD000056,USR00464,2025-05-29,Delivered
ORD000057,USR01385,2025-06-13,Delivered
ORD000058,USR01024,2025-11-29,Delivered
ORD000059,USR02209,2025-05-05,Shipped
ORD000060,USR00483,2025-11-25,Shipped
ORD000061,USR01189,2025-02-13,Processing
ORD000062,USR01226,2025-10-29,Delivered
ORD000063,USR01979,2025-09-19,Delivered
ORD000064,USR01203,2026-01-22,Delivered
ORD000065,USR01085,2025-01-25,Cancelled
ORD000066,USR00873,2025-09-05,Delivered
ORD000067,USR00010,2025-05-22,Processing
ORD000068,USR02330,2025-08-04,Delivered
ORD000069,USR01613,2026-02-05,Shipped
ORD000070,USR00891,2026-01-20,Shipped
ORD000071,USR01249,2026-01-28,Processing
ORD000072,USR02112,2025-10-09,Delivered
ORD000073,USR00146,2025-11-25,Shipped
ORD000074,USR01897,2025-03-12,Delivered
ORD000075,USR02000,2025-04-10,Shipped
ORD000076,USR00236,2025-06-11,Delivered
ORD000077,USR01458,2025-06-08,Delivered
ORD000078,USR00025,2025-07-29,Delivered
ORD000079,USR01886,2025-10-29,Delivered
ORD000080,USR01346,2025-06-11,Delivered
ORD000081,USR01223,2025-12-13,Delivered
ORD000082,USR01450,2025-02-20,Delivered
ORD000083,USR00439,2025-01-18,Processing
ORD000084,USR00022,2025-01-02,Delivered
ORD000085,USR01433,2025-04-12,Processing
ORD000086,USR00763,2026-01-11,Delivered
ORD000087,USR01647,2026-01-31,Delivered
ORD000088,USR01453,2025-01-09,Processing
ORD000089,USR00037,2025-08-23,Delivered
ORD000090,USR00416,2026-01-20,Delivered
ORD000091,USR01765,2025-07-26,Delivered
ORD000092,USR02016,2025-04-04,Delivered
ORD000093,USR00810,2025-01-02,Delivered
ORD000094,USR00348,2025-07-09,Shipped
ORD000095,USR02168,2025-05-23,Delivered
ORD000096,USR02107,2025-06-18,Cancelled
ORD000097,USR00630,2026-01-16,Processing
ORD000098,USR01683,2025-10-29,Delivered
ORD000099,USR00508,2025-07-14,Delivered
ORD000100,USR01997,2025-08-13,Processing
ORD000101,USR00029,2025-02-08,Delivered
ORD000102,USR00638,2025-06-19,Cancelled
ORD000103,USR01025,2025-01-11,Delivered
ORD000104,USR00927,2025-12-19,Delivered
ORD000105,USR01928,2025-01-24,Delivered
ORD000106,USR01620,2025-08-12,Processing
ORD000107,USR01534,2025-08-10,Delivered
ORD000108,USR01226,2025-12-09,Shipped
ORD000109,USR01493,2025-07-19,Processing
ORD000110,USR01755,2025-08-05,Shipped
ORD000111,USR00747,2025-05-18,Delivered
ORD000112,USR02198,2025-02-17,Processing
ORD000113,USR01104,2025-02-07,Delivered
ORD000114,USR00446,2025-01-07,Delivered
ORD000115,USR01797,2025-11-28,Delivered
ORD000116,USR01800,2025-07-21,Cancelled
ORD000117,USR00663,2025-07-09,Delivered
ORD000118,USR00573,2025-06-03,Delivered
ORD000119,USR01449,2025-02-14,Cancelled
ORD000120,USR01778,2025-12-29,Processing
ORD000121,USR00024,2025-02-16,Cancelled
