payment_id,order_id,user_id,payment_method,amount,payment_status
PAY000001,ORD000001,USR00861,Cash on Delivery,3894.96,Success
PAY000002,ORD000002,USR01295,Cash on Delivery,7024.56,Success
PAY000003,ORD000003,USR01131,Cash on Delivery,10052.88,Success
PAY000004,ORD000004,USR01096,Cash on Delivery,10166.6,Success
PAY000005,ORD000005,USR01639,Net Banking,4955.78,Success
PAY000006,ORD000006,USR02170,Net Banking,2955.99,Success
PAY000007,ORD000007,USR00467,Cash on Delivery,1861.2,Success
PAY000008,ORD000008,USR01239,Credit Card,2971.5,Success
PAY000009,ORD000009,USR00331,Debit Card,5842.440000000001,Success
PAY000010,ORD000010,USR01483,Debit Card,7020.36,Success
PAY000011,ORD000011,USR02136,UPI,284.52,Success
PAY000012,ORD000012,USR00131,Debit Card,13589.4,Success
PAY000013,ORD000013,USR01686,UPI,3629.04,Success
PAY000014,ORD000014,USR00770,Debit Card,1336.8,Success
PAY000015,ORD000015,USR02392,Cash on Delivery,7083.18,Success
PAY000016,ORD000016,USR01516,UPI,3317.51,Success
PAY000017,ORD000017,USR02434,Debit Card,9892.44,Refunded
PAY000018,ORD000018,USR01216,Cash on Delivery,4820.67,Success
PAY000019,ORD000019,USR00956,Net Banking,15428.0,Pending
PAY000020,ORD000020,USR02325,Credit Card,1832.58,Success
PAY000021,ORD000021,USR01185,Debit Card,29577.81,Refunded
PAY000022,ORD000022,USR00460,Cash on Delivery,15702.3,Pending
PAY000023,ORD000023,USR00022,Net Banking,111473.26,Success
PAY000024,ORD000024,USR02301,Debit Card,2406.82,Success
PAY000025,ORD000025,USR00748,Debit Card,7105.98,Success
PAY000026,ORD000026,USR00475,Credit Card,5514.24,Success
PAY000027,ORD000027,USR01083,Debit Card,1682.82,Success
PAY000028,ORD000028,USR02048,Debit Card,7753.4,Success
PAY000029,ORD000029,USR00976,Credit Card,27848.92,Refunded
PAY000030,ORD000030,USR01807,Net Banking,16764.16,Success
PAY000031,ORD000031,USR00190,Debit Card,6248.87,Success
PAY000032,ORD000032,USR00563,Cash on Delivery,49052.08,Success
PAY000033,ORD000033,USR01900,Cash on Delivery,2677.48,Success
PAY000034,ORD000034,USR01268,Net Banking,8773.32,Success
PAY000035,ORD000035,USR01529,UPI,7024.56,Success
PAY000036,ORD000036,USR00647,UPI,17510.8,Success
PAY000037,ORD000037,USR02069,Net Banking,114043.34,Success
PAY000038,ORD000038,USR02215,Net Banking,9309.08,Success
PAY000039,ORD000039,USR01298,Cash on Delivery,5183.309999999999,Success
PAY000040,ORD000040,USR02436,Cash on Delivery,5345.32,Success
PAY000041,ORD000041,USR00601,Net Banking,4813.78,Success
PAY000042,ORD000042,USR02364,Net Banking,334.0,Success
PAY000043,ORD000043,USR02062,Credit Card,26867.28,Failed
PAY000044,ORD000044,USR00242,Credit Card,21250.26,Pending
PAY000045,ORD000045,USR02042,Credit Card,8223.36,Success
PAY000046,ORD000046,USR01364,Credit Card,911.49,Success
PAY000047,ORD000047,USR02140,Net Banking,61776.3,Success
PAY000048,ORD000048,USR01391,Debit Card,18314.88,Success
PAY000049,ORD000049,USR01479,Net Banking,3724.96,Success
PAY000050,ORD000050,USR00776,UPI,48323.66,Success
PAY000051,ORD000051,USR00035,Debit Card,7572.86,Success
PAY000052,ORD000052,USR02254,Credit Card,57044.72,Success
PAY000053,ORD000053,USR01956,Credit Card,42810.98,Success
PAY000054,ORD000054,USR01586,UPI,3127.48,Success
PAY000055,ORD000055,USR01022,UPI,7408.530000000001,Success
PAY000056,ORD000056,USR01130,Credit Card,582.97,Success
PAY000057,ORD000057,USR01501,Net Banking,1790.0,Success
PAY000058,ORD000058,USR00703,UPI,9902.2,Success
PAY000059,ORD000059,USR02450,Credit Card,10247.19,Success
PAY000060,ORD000060,USR01580,Net Banking,6938.7,Success
PAY000061,ORD000061,USR00162,Debit Card,19700.97,Pending
PAY000062,ORD000062,USR00202,UPI,5184.8,Success
PAY000063,ORD000063,USR01982,Net Banking,36866.47,Success
PAY000064,ORD000064,USR00996,Net Banking,134548.04,Success
PAY000065,ORD000065,USR02318,Cash on Delivery,4010.92,Failed
PAY000066,ORD000066,USR00816,Net Banking,3563.91,Success
