review_id,user_id,product_id,rating,comment
REV000001,USR01571,PROD0319,4,"Works well, satisfied."
REV000002,USR02196,PROD0046,1,Waste of money.
REV000003,USR02286,PROD0030,2,Bad experience.
REV000004,USR01967,PROD0051,5,Highly recommended.
REV000005,USR00020,PROD0220,5,Excellent product!
REV000006,USR02485,PROD0130,4,"Works well, satisfied."
REV000007,USR00165,PROD0334,1,"Horrible quality, do not buy."
REV000008,USR02386,PROD0200,4,Decent product for the price.
REV000009,USR00222,PROD0022,5,Excellent product!
REV000010,USR01262,PROD0271,5,Perfect fit and quality.
REV000011,USR00669,PROD0073,3,Average quality.
REV000012,USR01008,PROD0424,5,"Super fast delivery, love it!"
REV000013,USR00614,PROD0500,2,Not worth the money.
REV000014,USR01675,PROD0381,3,Average experience.
REV000015,USR01695,PROD0337,3,Average experience.
REV000016,USR00916,PROD0276,3,Average experience.
REV000017,USR01150,PROD0072,4,"Good quality, but delivery was a bit slow."
REV000018,USR01431,PROD0489,2,"Not good, quality is poor."
REV000019,USR01643,PROD0424,2,Bad experience.
REV000020,USR01265,PROD0058,4,Nice design.
REV000021,USR01388,PROD0346,5,Perfect fit and quality.
REV000022,USR00147,PROD0402,2,Not worth the money.
REV000023,USR01087,PROD0314,5,"Super fast delivery, love it!"
REV000024,USR00137,PROD0087,3,"It's fine, nothing special."
REV000025,USR01961,PROD0228,4,Good product.
REV000026,USR02425,PROD0072,5,Value for money.
REV000027,USR01203,PROD0464,5,Value for money.
REV000028,USR00604,PROD0201,4,"Works well, satisfied."
REV000029,USR01439,PROD0181,1,"Broken item received, completely waste."
REV000030,USR02449,PROD0339,2,Bad experience.
REV000031,USR00580,PROD0421,1,Waste of money.
REV000032,USR00516,PROD0236,4,"Works well, satisfied."
REV000033,USR00063,PROD0172,3,Average quality.
REV000034,USR00683,PROD0404,5,Highly recommended.
REV000035,USR00257,PROD0387,3,Average quality.
REV000036,USR00933,PROD0432,4,Good product.
REV000037,USR01339,PROD0187,5,"Super fast delivery, love it!"
REV000038,USR00534,PROD0089,1,"Horrible quality, do not buy."
REV000039,USR00107,PROD0313,2,Defective piece received.
REV000040,USR01935,PROD0128,4,Good product.
REV000041,USR01694,PROD0328,4,Good product.
REV000042,USR01074,PROD0384,3,Average experience.
REV000043,USR01018,PROD0425,1,"Horrible quality, do not buy."
REV000044,USR01408,PROD0092,4,Nice design.
REV000045,USR02326,PROD0251,5,Perfect fit and quality.
REV000046,USR00886,PROD0221,4,"Works well, satisfied."
REV000047,USR00623,PROD0253,5,Excellent product!
REV000048,USR01497,PROD0122,1,"Horrible quality, do not buy."
REV000049,USR01721,PROD0106,4,"Good quality, but delivery was a bit slow."
REV000050,USR00501,PROD0323,4,"Good quality, but delivery was a bit slow."
REV000051,USR02088,PROD0021,4,"Works well, satisfied."
REV000052,USR00829,PROD0084,2,Disappointed with the product.
REV000053,USR01925,PROD0492,5,Perfect fit and quality.
REV000054,USR00164,PROD0090,3,"Expected better, but fine."
REV000055,USR00510,PROD0291,4,Good product.
REV000056,USR01404,PROD0098,4,"Works well, satisfied."
REV000057,USR01860,PROD0420,4,Decent product for the price.
REV000058,USR01968,PROD0001,3,"It's fine, nothing special."
REV000059,USR01254,PROD0283,5,Value for money.
REV000060,USR01274,PROD0149,5,"Super fast delivery, love it!"
REV000061,USR00350,PROD0481,3,"Expected better, but fine."
REV000062,USR01728,PROD0277,4,Nice design.
