shipment_id,order_id,tracking_number,carrier,shipment_date
SHP000001,ORD000001,TRK517520265,ExpressBees,2025-03-25
SHP000002,ORD000002,TRK922637658,BlueDart,2025-10-20
SHP000003,ORD000003,TRK658939162,Delhivery,2025-04-21
SHP000004,ORD000004,TRK529282172,FedEx,2025-04-02
SHP000005,ORD000005,,,
SHP000006,ORD000006,TRK967117819,Delhivery,2025-09-23
SHP000007,ORD000007,TRK745735256,BlueDart,2025-01-29
SHP000008,ORD000008,TRK883169366,ExpressBees,2026-01-01
SHP000009,ORD000009,TRK375935026,Delhivery,2025-10-26
SHP000010,ORD000010,TRK962073853,Delhivery,2025-10-14
SHP000011,ORD000011,TRK507937183,FedEx,2025-04-21
SHP000012,ORD000012,TRK170349900,Delhivery,2025-03-29
SHP000013,ORD000013,TRK690324904,FedEx,2025-03-17
SHP000014,ORD000014,TRK400214577,FedEx,2025-03-05
SHP000015,ORD000015,TRK188869236,ExpressBees,2025-01-26
SHP000016,ORD000016,TRK512501424,FedEx,2025-03-02
SHP000017,ORD000017,,,
SHP000018,ORD000018,TRK446068572,BlueDart,2025-04-06
SHP000019,ORD000019,,,
SHP000020,ORD000020,TRK887284253,FedEx,2025-04-03
SHP000021,ORD000021,,,
SHP000022,ORD000022,,,
SHP000023,ORD000023,TRK634860866,ExpressBees,2025-02-03
SHP000024,ORD000024,TRK167149215,FedEx,2025-12-22
SHP000025,ORD000025,TRK379280431,ExpressBees,2025-09-27
SHP000026,ORD000026,TRK211365711,BlueDart,2025-07-19
SHP000027,ORD000027,TRK810719512,ExpressBees,2025-08-26
SHP000028,ORD000028,TRK635765735,ExpressBees,2025-08-14
SHP000029,ORD000029,,,
SHP000030,ORD000030,,,
SHP000031,ORD000031,TRK692339181,BlueDart,2025-01-25
SHP000032,ORD000032,,,
SHP000033,ORD000033,TRK825455353,FedEx,2025-09-20
SHP000034,ORD000034,TRK585946176,FedEx,2025-11-23
SHP000035,ORD000035,TRK919192323,ExpressBees,2025-11-05
SHP000036,ORD000036,TRK435222394,FedEx,2025-12-13
SHP000037,ORD000037,TRK927967612,ExpressBees,2025-10-15
SHP000038,ORD000038,TRK820140496,FedEx,2025-12-16
SHP000039,ORD000039,,,
SHP000040,ORD000040,TRK869654726,Delhivery,2026-01-04
SHP000041,ORD000041,TRK227104896,Delhivery,2025-07-18
SHP000042,ORD000042,TRK132115068,Delhivery,2025-03-07
SHP000043,ORD000043,,,
SHP000044,ORD000044,,,
SHP000045,ORD000045,,,
SHP000046,ORD000046,TRK451006345,FedEx,2025-06-03
SHP000047,ORD000047,TRK530740833,ExpressBees,2025-04-09
SHP000048,ORD000048,TRK541709741,ExpressBees,2025-07-13
SHP000049,ORD000049,TRK308331173,Delhivery,2025-07-18
SHP000050,ORD000050,TRK239265895,BlueDart,2025-02-20
SHP000051,ORD000051,TRK541913281,BlueDart,2025-05-31
SHP000052,ORD000052,TRK291391028,FedEx,2025-02-03
SHP000053,ORD000053,,,
SHP000054,ORD000054,TRK396975372,ExpressBees,2025-05-03
SHP000055,ORD000055,TRK554045576,BlueDart,2025-10-14
SHP000056,ORD000056,TRK334198832,Delhivery,2025-05-31
SHP000057,ORD000057,TRK134228393,Delhivery,2025-06-15
SHP000058,ORD000058,TRK293526561,ExpressBees,2025-12-01
SHP000059,ORD000059,TRK924478713,Delhivery,2025-05-06
SHP000060,ORD000060,TRK465199419,FedEx,2025-11-28
SHP000061,ORD000061,,,
SHP000062,ORD000062,TRK909105513,Delhivery,2025-10-30
SHP000063,ORD000063,TRK888601468,BlueDart,2025-09-22
SHP000064,ORD000064,TRK833640878,Delhivery,2026-01-24
SHP000065,ORD000065,,,
SHP000066,ORD000066,TRK785169987,ExpressBees,2025-09-07
SHP000067,ORD000067,,,
SHP000068,ORD000068,TRK629259619,Delhivery,2025-08-05
SHP000069,ORD000069,TRK682863961,BlueDart,2026-02-07
SHP000070,ORD000070,TRK891014681,FedEx,2026-01-21
SHP000071,ORD000071,,,
SHP000072,ORD000072,TRK545112293,Delhivery,2025-10-12
SHP000073,ORD000073,TRK461853113,FedEx,2025-11-27
SHP000074,ORD000074,TRK349873431,BlueDart,2025-03-13
SHP000075,ORD000075,TRK459935941,BlueDart,2025-04-13
SHP000076,ORD000076,TRK615988765,FedEx,2025-06-14
SHP000077,ORD000077,TRK692322356,Delhivery,2025-06-11
SHP000078,ORD000078,TRK511830697,BlueDart,2025-08-01
SHP000079,ORD000079,TRK549990410,ExpressBees,2025-10-31
SHP000080,ORD000080,TRK519928887,Delhivery,2025-06-14
SHP000081,ORD000081,TRK594169532,BlueDart,2025-12-15
SHP000082,ORD000082,TRK329181149,BlueDart,2025-02-21
SHP000083,ORD000083,,,
SHP000084,ORD000084,TRK557974821,BlueDart,2025-01-03
SHP000085,ORD000085,,,
SHP000086,ORD000086,TRK936351916,ExpressBees,2026-01-13
SHP000087,ORD000087,TRK130193692,Delhivery,2026-02-02
SHP000088,ORD000088,,,
SHP000089,ORD000089,TRK335062651,Delhivery,2025-08-25
SHP000090,ORD000090,TRK255914687,Delhivery,2026-01-21
SHP000091,ORD000091,TRK203570565,FedEx,2025-07-28
SHP000092,ORD000092,TRK219411620,ExpressBees,2025-04-06
SHP000093,ORD000093,TRK785453545,BlueDart,2025-01-03
SHP000094,ORD000094,TRK826213868,FedEx,2025-07-11
SHP000095,ORD000095,TRK869792046,Delhivery,2025-05-24
SHP000096,ORD000096,,,
SHP000097,ORD000097,,,
SHP000098,ORD000098,TRK278663562,FedEx,2025-10-30
SHP000099,ORD000099,TRK397726316,ExpressBees,2025-07-15
SHP000100,ORD000100,,,
SHP000101,ORD000101,TRK445252439,ExpressBees,2025-02-09
SHP000102,ORD000102,,,
SHP000103,ORD000103,TRK703143806,Delhivery,2025-01-14
